AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
0	0	0	0	0	0	0	0	0	0		
27	34	42	0	0	0	36	29	0	42	
27	55	63	0	0	0	52	29	0	58	
39	76	63	0	0	0	52	50	0	70	
50	76	84	0	0	0	63	71	0	70	
64	90	84	0	0	0	84	92	0	70	
64	111	84	15	0	0	99	92	0	91	
83	111	84	34	21	0	99	92	0	112	
104	122	84	34	42	0	110	92	0	112	
104	143	84	55	42	0	129	92	0	131	
113	143	84	76	63	0	129	92	0	140	
134	143	84	91	63	0	150	92	0	155	
134	143	84	106	84	0	165	92	0	176	
134	153	84	127	84	0	186	92	0	186	
134	163	84	137	84	0	186	113	0	207	
134	179	84	158	84	0	202	134	0	207	
134	200	84	171	84	0	223	134	0	220	
134	221	84	171	84	0	237	155	0	234	
134	221	84	192	84	0	258	174	0	253	
134	242	84	206	84	0	258	195	0	267	
148	242	84	227	84	0	279	195	0	281	
169	259	84	227	84	0	296	216	0	281	
169	281	84	247	84	0	296	236	0	303	
191	281	84	269	84	0	316	236	0	323	
204	302	84	269	84	0	329	257	0	323	
204	312	84	279	84	0	329	278	0	344	
225	333	84	279	100	0	345	278	0	344	
246	333	84	279	100	0	356	299	0	355	
246	354	84	279	117	0	356	320	0	372	
267	373	84	279	138	0	375	320	0	372	
286	373	84	279	138	0	396	341	0	391	
286	394	84	279	159	0	396	354	0	404	
286	406	84	279	180	0	408	375	0	404	
286	427	84	279	180	0	425	392	0	425	
286	448	84	279	201	0	434	392	0	434	
303	448	84	279	222	0	451	392	0	455	
325	468	84	279	222	0	471	392	0	477	
325	489	84	290	243	0	471	392	0	488	
340	489	84	305	264	0	492	392	0	488	
357	506	84	305	264	0	513	392	0	509	
368	527	84	326	264	0	513	392	0	520	
368	546	84	326	285	0	532	392	0	541	
391	569	84	326	285	0	557	392	0	566	
412	569	84	326	294	0	566	392	0	587	
412	590	84	326	315	0	581	392	0	602	
433	608	84	326	315	0	602	392	0	620	
454	623	84	326	336	0	617	392	0	620	
454	640	84	326	357	0	634	392	0	641	
454	661	84	326	375	0	652	392	0	662	
454	661	84	347	396	0	667	407	0	662	
454	670	84	368	396	0	667	428	0	671	
454	691	84	368	417	0	674	428	0	678	
454	712	84	380	417	0	686	449	0	678	
454	712	84	391	417	0	707	470	0	689	
454	723	84	402	417	0	707	491	0	710	
454	734	84	402	417	0	718	491	21	731	
454	734	105	416	417	14	718	512	21	731	
454	755	105	416	417	14	728	512	42	741	
454	755	116	416	417	35	728	512	63	752	
454	777	116	436	417	35	748	534	63	752	
454	792	116	436	417	50	769	534	84	752	
454	792	137	457	417	50	769	549	84	767	
454	806	137	457	417	71	790	549	84	781	
454	806	154	478	417	71	790	566	105	781	
454	821	154	478	417	92	805	566	105	802	
454	821	169	493	417	92	805	587	126	802	
454	821	190	493	417	113	805	587	144	820	
454	835	190	507	417	113	826	608	144	820	
472	853	190	528	417	113	826	608	144	841	
488	874	190	549	417	113	826	608	144	857	
509	888	190	570	417	113	826	608	144	871	
530	898	190	591	417	113	826	608	144	881	
545	919	190	612	417	113	826	608	144	896	
566	940	190	627	417	113	826	608	144	911	
583	940	190	627	417	113	843	629	144	932	
595	940	190	648	417	113	864	629	144	944	
595	940	190	670	417	113	884	651	144	964	
614	940	190	691	417	113	884	670	144	985	
626	940	190	703	417	113	905	691	144	985	
647	940	190	703	417	113	926	708	144	1002	
656	940	190	703	417	113	947	717	144	1023	
656	940	211	720	417	113	968	734	144	1023	
677	940	211	730	417	113	978	755	144	1023	
698	940	232	730	417	113	990	767	144	1023	
705	940	253	730	417	113	997	788	144	1023	
726	940	274	730	417	113	1010	801	144	1023	
743	940	295	730	417	113	1031	818	144	1023	
763	940	317	730	417	113	1051	840	144	1023	
782	961	317	730	417	113	1070	840	144	1044	
799	978	317	730	417	113	1091	840	144	1065	
816	999	317	730	417	113	1112	840	144	1082	
837	1013	317	730	417	113	1126	840	144	1103	
854	1030	317	730	417	113	1147	840	144	1124	
876	1050	317	730	417	113	1169	840	144	1144	
893	1071	317	730	417	130	1190	840	144	1144	
893	1071	317	730	417	151	1207	861	144	1161	
914	1085	317	730	417	151	1207	882	144	1175	
914	1090	317	730	417	172	1212	882	144	1196	
926	1090	317	730	417	193	1224	903	144	1196	
948	1114	317	730	417	193	1224	927	144	1218	
948	1126	317	730	417	214	1245	927	144	1230	
948	1134	317	730	438	214	1266	927	144	1238	
948	1140	317	730	459	214	1272	927	144	1259	
948	1140	317	730	480	214	1293	939	144	1271	
948	1161	317	730	480	214	1308	960	144	1286	
948	1176	317	730	495	214	1329	981	144	1286	
948	1183	317	730	516	214	1329	1002	144	1293	
948	1201	317	730	516	214	1350	1020	144	1314	
