AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
0	0	0	0	0	0	0	0	0	0		
42	42	23	0	0	0	29	40	0	34	
42	58	39	0	0	0	50	40	0	55	
63	70	39	0	0	0	50	52	0	76	
84	70	50	0	0	0	71	63	0	76	
105	91	50	0	0	0	85	77	0	76	
105	106	50	21	0	0	106	77	0	91	
126	106	50	42	19	0	106	77	0	110	
137	127	50	42	30	0	127	77	0	110	
137	146	50	61	30	0	148	77	0	131	
158	146	50	70	39	0	148	77	0	152	
173	146	50	91	39	0	163	77	0	173	
173	146	50	112	54	0	184	77	0	188	
173	167	50	122	54	0	194	77	0	209	
173	188	50	143	54	0	194	87	0	219	
173	209	50	159	54	0	215	103	0	219	
173	222	50	180	54	0	228	103	0	240	
173	236	50	180	54	0	249	117	0	261	
173	236	50	199	54	0	268	138	0	282	
173	250	50	220	54	0	268	152	0	303	
194	250	50	234	54	0	282	152	0	324	
211	271	50	234	54	0	303	169	0	324	
211	291	50	256	54	0	303	191	0	344	
231	291	50	276	54	0	325	191	0	366	
252	304	50	276	54	0	346	204	0	366	
252	325	50	297	54	0	346	214	0	376	
268	341	50	297	75	0	367	214	0	376	
279	341	50	297	75	0	388	225	0	397	
279	358	50	297	96	0	388	242	0	418	
298	379	50	297	115	0	409	242	0	418	
319	379	50	297	115	0	428	261	0	439	
319	392	50	297	128	0	428	282	0	460	
319	413	50	297	140	0	449	294	0	460	
319	430	50	297	140	0	470	315	0	477	
319	439	50	297	149	0	491	315	0	498	
340	439	50	297	166	0	512	315	0	515	
360	461	50	297	166	0	534	315	0	535	
360	472	50	318	177	0	534	315	0	556	
381	472	50	339	192	0	549	315	0	556	
402	493	50	339	192	0	566	315	0	573	
423	504	50	350	192	0	566	315	0	594	
423	525	50	350	211	0	587	315	0	613	
448	550	50	350	211	0	610	315	0	636	
457	550	50	350	232	0	631	315	0	645	
457	565	50	350	247	0	652	315	0	666	
475	586	50	350	247	0	670	315	0	687	
490	607	50	350	262	0	691	315	0	687	
490	628	50	350	279	0	712	315	0	704	
490	646	50	350	300	0	733	315	0	722	
490	646	50	365	315	0	754	336	0	722	
490	667	50	374	315	0	754	345	0	743	
490	674	50	374	322	0	775	345	0	764	
490	686	50	395	322	0	796	357	0	764	
490	686	50	416	322	0	807	368	0	785	
490	707	50	437	322	0	807	379	0	796	
490	728	50	437	322	0	828	379	11	807	
490	728	64	458	322	21	828	393	11	807	
490	738	64	458	322	21	849	393	21	828	
490	738	85	458	322	32	849	393	32	849	
490	758	85	480	322	32	871	413	32	849	
490	779	85	480	322	53	886	413	47	849	
490	779	100	495	322	53	886	434	47	870	
490	800	100	495	322	67	900	434	47	891	
490	800	121	512	322	67	900	455	64	891	
490	821	121	512	322	82	921	455	64	906	
490	821	142	533	322	82	921	470	79	906	
490	821	160	533	322	100	921	470	100	927	
490	842	160	554	322	100	935	484	100	927	
511	863	160	572	322	100	935	484	100	945	
532	879	160	588	322	100	935	484	100	966	
546	900	160	602	322	100	935	484	100	987	
556	921	160	612	322	100	935	484	100	1008	
577	936	160	627	322	100	935	484	100	1029	
592	951	160	648	322	100	935	484	100	1050	
613	951	160	648	322	100	956	501	100	1067	
634	951	160	660	322	100	968	501	100	1088	
634	951	160	680	322	100	990	521	100	1110	
655	951	160	699	322	100	990	542	100	1129	
676	951	160	720	322	100	1002	554	100	1129	
693	951	160	720	322	100	1019	575	100	1150	
714	951	160	720	322	100	1028	596	100	1159	
714	951	177	741	322	100	1045	617	100	1159	
724	951	177	762	322	100	1066	627	100	1159	
736	951	189	762	322	100	1087	648	100	1159	
757	951	196	762	322	100	1108	655	100	1159	
770	951	209	762	322	100	1129	676	100	1159	
791	951	226	762	322	100	1146	697	100	1159	
813	951	246	762	322	100	1168	717	100	1159	
834	970	246	762	322	100	1189	717	100	1178	
855	991	246	762	322	100	1206	717	100	1195	
876	1008	246	762	322	100	1223	717	100	1216	
890	1029	246	762	322	100	1244	717	100	1230	
911	1050	246	762	322	100	1261	717	100	1247	
931	1072	246	762	322	100	1281	717	100	1269	
952	1089	246	762	322	121	1298	717	100	1269	
952	1089	246	762	322	138	1319	734	100	1290	
966	1110	246	762	322	138	1319	748	100	1311	
966	1131	246	762	322	143	1340	748	100	1316	
987	1131	246	762	322	155	1361	760	100	1316	
1011	1153	246	762	322	155	1361	782	100	1340	
1011	1174	246	762	322	167	1373	782	100	1361	
1011	1195	246	762	330	167	1381	782	100	1382	
1011	1216	246	762	336	167	1402	782	100	1388	
1011	1216	246	762	348	167	1414	803	100	1409	
1011	1231	246	762	348	167	1435	818	100	1430	
1011	1252	246	762	369	167	1450	833	100	1430	
1011	1273	246	762	376	167	1450	840	100	1451	
1011	1294	246	762	376	167	1468	861	100	1469	
