AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
0	0	0	0	0	0	0	0	0	0	
	100	0				100			0	
100	100	0				100	0		0	
100	100	0				50	50		0	
100	66	0				66.6666666666667	50		33.3333333333333	
100	50	0				66.6666666666667	33		50	
100	50	0				75	25		50	
100	60	0				60	20		50	
100	50	0	100			66.6666666666667	20		40	
100	50	0	100	0		66.6666666666667	20		33	
85	57.1428571428571	0	100	0		71.4285714285714	20		33	
85	50	0	66	0		75	20		42.8571428571429	
87.5	50	0	50	0		75	20		50	
77	50	0	60	0		66	20		55.5555555555556	
77	50	0	66.6666666666667	0		70	20		50	
77	55.5555555555556	0	57	0		63	20		54.5454545454545	
77	60	0	62.5	0		63	16		50	
77	63.6363636363636	0	55	0		66.6666666666667	14		50	
77	58	0	60	0		61	14		53.8461538461538	
77	53	0	60	0		64.2857142857143	12		57.1428571428571	
77	53	0	54	0		60	22.2222222222222		60	
77	50	0	58.3333333333333	0		60	20		62.5	
80	50	0	53	0		56	20		64.7058823529412	
72	53.3333333333333	0	53	0		58.8235294117647	18		64.7058823529412	
72	50	0	57.1428571428571	0		58.8235294117647	25		61	
66	50	0	53	0		61.1111111111111	25		63.1578947368421	
69.2307692307692	47	0	53	0		63.1578947368421	23		63.1578947368421	
69.2307692307692	50	0	56.25	0		63.1578947368421	21		60	
64	47	0	56.25	20		65	21		60	
60	47	0	56.25	20		66.6666666666667	20		61.9047619047619	
60	45	0	56.25	33.3333333333333		66.6666666666667	18		63.6363636363636	
56	47.6190476190476	0	56.25	28		68.1818181818182	18		63.6363636363636	
58.8235294117647	47.6190476190476	0	56.25	28		65	17		65.2173913043478	
58.8235294117647	45	0	56.25	25		65	22.2222222222222		66.6666666666667	
58.8235294117647	47.8260869565217	0	56.25	22		66.6666666666667	21		66.6666666666667	
58.8235294117647	45	0	56.25	22		68	25		64	
58.8235294117647	44	0	56.25	20		69.2307692307692	25		65.3846153846154	
61.1111111111111	44	0	56.25	18		70.3703703703704	25		62	
57	46.1538461538462	0	56.25	18		71.4285714285714	25		60	
57	44	0	58.8235294117647	16		71.4285714285714	25		62.0689655172414	
60	44	0	61.1111111111111	15		68	25		62.0689655172414	
61.9047619047619	46.4285714285714	0	61.1111111111111	15		66	25		60	
63.6363636363636	44	0	57	15		66	25		61.2903225806452	
63.6363636363636	46.6666666666667	0	57	14		67.741935483871	25		59	
65.2173913043478	48.3870967741936	0	57	14		65	25		57	
62	48.3870967741936	0	57	20		66.6666666666667	25		55	
62	46	0	57	18		67.6470588235294	25		57.1428571428571	
60	48.4848484848485	0	57	18		65	25		58.3333333333333	
57	50	0	57	17		66.6666666666667	25		58.3333333333333	
57	51.4285714285714	0	57	16		67.5675675675676	25		56	
57	50	0	57	21.0526315789474		68.4210526315789	25		55	
57	50	0	55	20		69.2307692307692	28.5714285714286		55	
57	51.3513513513514	0	52	20		69.2307692307692	27		56.4102564102564	
57	50	0	52	19		70	27		57.5	
57	48	0	54.5454545454545	19		70.7317073170732	26		57.5	
57	48	0	56.5217391304348	19		69	25		58.5365853658537	
57	50	0	58.3333333333333	19		69	24		57	
57	51.219512195122	0	58.3333333333333	19		69.7674418604651	24	0	55	
57	51.219512195122	0	60	19	100	69.7674418604651	23	0	55	
57	50	0	60	19	100	70.4545454545455	23	0	56.8181818181818	
57	50	16.6666666666667	60	19	50	70.4545454545455	23	0	57.7777777777778	
57	48	16.6666666666667	61.5384615384615	19	50	71.1111111111111	22	0	57.7777777777778	
57	50	16.6666666666667	61.5384615384615	19	66.6666666666667	69	22	0	57.7777777777778	
57	50	14	59	19	66.6666666666667	69	25	0	58.695652173913	
57	51.1111111111111	14	59	19	50	68	25	0	59.5744680851064	
57	51.1111111111111	25	57	19	50	68	27.5862068965517	0	59.5744680851064	
57	52.1739130434783	25	57	19	40	68.75	27.5862068965517	0	58	
57	52.1739130434783	33.3333333333333	58.6206896551724	19	40	68.75	26	0	58	
57	52.1739130434783	30	58.6206896551724	19	33	68.75	26	14.2857142857143	59.1836734693878	
57	53.1914893617021	30	60	19	33	67	25	14.2857142857143	59.1836734693878	
59.2592592592593	54.1666666666667	30	58	19	33	67	25	14.2857142857143	57	
60.7142857142857	53	30	56	19	33	67	25	14.2857142857143	58.8235294117647	
58	54	30	54	19	33	67	25	14.2857142857143	59.6153846153846	
56	54.9019607843137	30	52	19	33	67	25	14.2857142857143	60.377358490566	
58.0645161290323	53	30	51	19	33	67	25	14.2857142857143	61.1111111111111	
56	52	30	52.7777777777778	19	33	67	25	14.2857142857143	61.8181818181818	
57.5757575757576	52	30	52.7777777777778	19	33	68	25	14.2857142857143	60	
58.8235294117647	52	30	51	19	33	66	25	14.2857142857143	61.4035087719298	
58.8235294117647	52	30	50	19	33	67.3076923076923	24	14.2857142857143	62.0689655172414	
60	52	30	48	19	33	67.3076923076923	26.4705882352941	14.2857142857143	61	
61.1111111111111	52	30	50	19	33	66	25	14.2857142857143	61	
59	52	30	50	19	33	64	27.7777777777778	14.2857142857143	61.6666666666667	
60.5263157894737	52	30	50	19	33	63	29.7297297297297	14.2857142857143	60	
60.5263157894737	52	27	51.219512195122	19	33	62	31.5789473684211	14.2857142857143	60	
58	52	27	52.3809523809524	19	33	63.1578947368421	30	14.2857142857143	60	
57	52	25	52.3809523809524	19	33	63.7931034482759	32.5	14.2857142857143	60	
58.5365853658537	52	23	52.3809523809524	19	33	64.406779661017	31	14.2857142857143	60	
57	52	21	52.3809523809524	19	33	65	33.3333333333333	14.2857142857143	60	
58.1395348837209	52	20	52.3809523809524	19	33	63	34.8837209302326	14.2857142857143	60	
59.0909090909091	52	18	52.3809523809524	19	33	64.5161290322581	34	14.2857142857143	60	
