AS	AT	GB	KN	KR	PJ	SA	SK	SS	SV	
0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	
2	2	0	0	0	0	2	1	0	1	
3	2	0	0	0	0	2	1	0	2	
4	2	0	0	0	0	3	1	0	2	
5	3	0	0	0	0	3	1	0	2	
5	3	0	1	0	0	4	1	0	2	
6	3	0	2	0	0	4	1	0	2	
6	4	0	2	0	0	5	1	0	2	
6	4	0	2	0	0	6	1	0	3	
7	4	0	2	0	0	6	1	0	4	
7	4	0	3	0	0	6	1	0	5	
7	4	0	4	0	0	7	1	0	5	
7	5	0	4	0	0	7	1	0	6	
7	6	0	5	0	0	7	1	0	6	
7	7	0	5	0	0	8	1	0	6	
7	7	0	6	0	0	8	1	0	7	
7	7	0	6	0	0	9	1	0	8	
7	7	0	6	0	0	9	2	0	9	
7	7	0	7	0	0	9	2	0	10	
8	7	0	7	0	0	9	2	0	11	
8	8	0	7	0	0	10	2	0	11	
8	8	0	8	0	0	10	3	0	11	
8	8	0	8	0	0	11	3	0	12	
9	8	0	8	0	0	12	3	0	12	
9	9	0	9	0	0	12	3	0	12	
9	9	0	9	1	0	13	3	0	12	
9	9	0	9	1	0	14	3	0	13	
9	9	0	9	2	0	14	3	0	14	
9	10	0	9	2	0	15	3	0	14	
10	10	0	9	2	0	15	3	0	15	
10	10	0	9	2	0	15	4	0	16	
10	11	0	9	2	0	16	4	0	16	
10	11	0	9	2	0	17	5	0	16	
10	11	0	9	2	0	18	5	0	17	
11	11	0	9	2	0	19	5	0	17	
11	12	0	9	2	0	20	5	0	17	
11	12	0	10	2	0	20	5	0	18	
12	12	0	11	2	0	20	5	0	18	
13	13	0	11	2	0	20	5	0	18	
14	13	0	11	2	0	20	5	0	19	
14	14	0	11	2	0	21	5	0	19	
15	15	0	11	2	0	21	5	0	19	
15	15	0	11	3	0	22	5	0	19	
15	15	0	11	3	0	23	5	0	20	
15	16	0	11	3	0	23	5	0	21	
15	17	0	11	3	0	24	5	0	21	
15	18	0	11	3	0	25	5	0	21	
15	18	0	11	4	0	26	5	0	21	
15	18	0	11	4	0	27	6	0	21	
15	19	0	11	4	0	27	6	0	22	
15	19	0	11	4	0	28	6	0	23	
15	19	0	12	4	0	29	6	0	23	
15	19	0	13	4	0	29	6	0	24	
15	20	0	14	4	0	29	6	0	24	
15	21	0	14	4	0	30	6	0	24	
15	21	0	15	4	1	30	6	0	24	
15	21	0	15	4	1	31	6	0	25	
15	21	1	15	4	1	31	6	0	26	
15	21	1	16	4	1	32	6	0	26	
15	22	1	16	4	2	32	6	0	26	
15	22	1	16	4	2	32	7	0	27	
15	23	1	16	4	2	32	7	0	28	
15	23	2	16	4	2	32	8	0	28	
15	24	2	16	4	2	33	8	0	28	
15	24	3	17	4	2	33	8	0	28	
15	24	3	17	4	2	33	8	1	29	
15	25	3	18	4	2	33	8	1	29	
16	26	3	18	4	2	33	8	1	29	
17	26	3	18	4	2	33	8	1	30	
17	27	3	18	4	2	33	8	1	31	
17	28	3	18	4	2	33	8	1	32	
18	28	3	18	4	2	33	8	1	33	
18	28	3	19	4	2	33	8	1	34	
19	28	3	19	4	2	34	8	1	34	
20	28	3	19	4	2	34	8	1	35	
20	28	3	19	4	2	35	8	1	36	
21	28	3	19	4	2	35	9	1	36	
22	28	3	20	4	2	35	9	1	36	
22	28	3	20	4	2	35	10	1	37	
23	28	3	20	4	2	35	11	1	37	
23	28	3	21	4	2	35	12	1	37	
23	28	3	22	4	2	36	12	1	37	
23	28	3	22	4	2	37	13	1	37	
24	28	3	22	4	2	38	13	1	37	
24	28	3	22	4	2	39	14	1	37	
25	28	3	22	4	2	39	15	1	37	
26	28	3	22	4	2	40	15	1	37	
27	28	3	22	4	2	41	15	1	37	
28	29	3	22	4	2	41	15	1	37	
29	29	3	22	4	2	41	15	1	38	
29	30	3	22	4	2	42	15	1	38	
30	31	3	22	4	2	42	15	1	38	
30	32	3	22	4	2	42	15	1	39	
31	32	3	22	4	3	42	15	1	39	
31	32	3	22	4	3	43	15	1	40	
31	33	3	22	4	3	43	15	1	41	
31	34	3	22	4	3	44	15	1	41	
32	34	3	22	4	3	45	15	1	41	
33	34	3	22	4	3	45	15	1	42	
33	35	3	22	4	3	45	15	1	43	
33	36	3	22	4	3	45	15	1	44	
33	37	3	22	4	3	46	15	1	44	
33	37	3	22	4	3	46	16	1	45	
33	37	3	22	4	3	47	16	1	46	
33	38	3	22	5	3	47	16	1	46	
33	39	3	22	5	3	47	16	1	47	
33	40	3	22	5	3	47	17	1	47	
